County_and_Quarter,X,County.x,Quarter,Petition_for_Modification,FTA_Warrant,Prison,Probation,Straight_1170h,Split_1170h,Probation_Petition,MS_Petition,PRCS_Petition,Parole_Petition,County.y,Name,Decarceratory,Did_Incumbent_Seek_Reelection,If_Sought_Did_Incumbent_Win,Contested,Election_Year,Notes...election.years...2014..2018..2022.with.New.DA.coming.in.Q1.after..,Total_Sentences,Percentage_Prison,Percentage_Probation,Percentage_Split,Percentage_Straight
Alameda_2013 Q1 Court,1,Alameda,2013 Q1 Court,1985,340,162,628,32,5,1672,1,308,NA,Alameda,Nancy E. O'Malley,1,1,1,0,0,,827,19.588875,75.937122,0.604595,3.869407
Alameda_2013 Q2 Court,2,Alameda,2013 Q2 Court,2026,403,191,755,16,4,1750,9,370,NA,Alameda,Nancy E. O'Malley,1,1,1,0,0,,966,19.772257,78.15735,0.414079,1.656315
Alameda_2013 Q3 Court,3,Alameda,2013 Q3 Court,2137,398,165,742,28,4,1838,12,334,153,Alameda,Nancy E. O'Malley,1,1,1,0,0,,939,17.571885,79.020234,0.425985,2.981896
Alameda_2013 Q4 Court,4,Alameda,2013 Q4 Court,1921,404,202,749,31,2,1823,19,236,170,Alameda,Nancy E. O'Malley,1,1,1,0,0,,984,20.528455,76.117886,0.203252,3.150407
Alameda_2014 Q1 Court,5,Alameda,2014 Q1 Court,1980,220,244,624,47,1,878,3,150,211,Alameda,Nancy E. O'Malley,1,1,1,0,0,,916,26.637555,68.122271,0.10917,5.131004
Alameda_2014 Q2 Court,6,Alameda,2014 Q2 Court,2072,233,270,689,27,5,1231,2,163,229,Alameda,Nancy E. O'Malley,1,1,1,0,0,,991,27.245207,69.525732,0.504541,2.724521
Alameda_2014 Q3 Court,7,Alameda,2014 Q3 Court,2001,268,169,674,22,1,1065,1,180,214,Alameda,Nancy E. O'Malley,1,1,1,0,1,,866,19.515012,77.829099,0.115473,2.540416
Alameda_2014 Q4 Court,8,Alameda,2014 Q4 Court,1599,255,209,660,40,5,923,0,165,177,Alameda,Nancy E. O'Malley,1,1,1,0,1,,914,22.866521,72.210066,0.547046,4.376368
Alameda_2015 Q1 Court,9,Alameda,2015 Q1 Court,1815,221,155,748,28,14,1054,0,140,153,Alameda,Nancy E. O'Malley,1,1,1,1,0,,945,16.402116,79.153439,1.481481,2.962963
Alameda_2015 Q2 Court,10,Alameda,2015 Q2 Court,1749,238,232,636,43,6,1115,3,199,124,Alameda,Nancy E. O'Malley,1,1,1,1,0,,917,25.299891,69.356598,0.654308,4.689204
Alameda_2015 Q3 Court,11,Alameda,2015 Q3 Court,1848,252,254,658,36,3,1116,2,171,157,Alameda,Nancy E. O'Malley,1,1,1,1,0,,951,26.708728,69.190326,0.315457,3.785489
Alameda_2015 Q4 Court,12,Alameda,2015 Q4 Court,1758,250,271,676,39,11,1093,2,152,146,Alameda,Nancy E. O'Malley,1,1,1,1,0,,997,27.181545,67.80341,1.10331,3.911735
Alameda_2016 Q1 Court,13,Alameda,2016 Q1 Court,1812,279,227,661,30,8,1019,2,188,129,Alameda,Nancy E. O'Malley,1,1,1,1,0,,926,24.514039,71.382289,0.863931,3.239741
Alameda_2016 Q2 Court,14,Alameda,2016 Q2 Court,1865,229,203,722,37,7,858,2,193,129,Alameda,Nancy E. O'Malley,1,1,1,1,0,,969,20.949432,74.509804,0.722394,3.818369
Alameda_2016 Q3 Court,15,Alameda,2016 Q3 Court,1912,183,193,951,3,4,1843,2,148,173,Alameda,Nancy E. O'Malley,1,1,1,1,0,,1151,16.768028,82.623805,0.347524,0.260643
Alameda_2016 Q4 Court,16,Alameda,2016 Q4 Court,1521,157,131,942,8,1,1491,0,151,121,Alameda,Nancy E. O'Malley,1,1,1,1,0,,1082,12.107209,87.060998,0.092421,0.739372
Alameda_2017 Q1 Court,17,Alameda,2017 Q1 Court,1477,205,186,1222,6,4,1711,0,205,168,Alameda,Nancy E. O'Malley,1,1,1,1,0,,1418,13.117066,86.177715,0.282087,0.423131
Alameda_2017 Q2 Court,18,Alameda,2017 Q2 Court,1546,225,229,1241,1,4,1809,2,198,161,Alameda,Nancy E. O'Malley,1,1,1,1,0,,1475,15.525424,84.135593,0.271186,0.067797
Alameda_2017 Q3 Court,19,Alameda,2017 Q3 Court,1450,193,180,1049,5,1,1605,0,211,156,Alameda,Nancy E. O'Malley,1,1,1,1,0,,1235,14.574899,84.939271,0.080972,0.404858
Alameda_2017 Q4 Court,20,Alameda,2017 Q4 Court,1444,224,181,965,3,2,1505,0,166,179,Alameda,Nancy E. O'Malley,1,1,1,1,0,,1151,15.725456,83.840139,0.173762,0.260643
Alameda_2018 Q1 Court,21,Alameda,2018 Q1 Court,1456,271,180,1155,3,3,1804,2,193,218,Alameda,Nancy E. O'Malley,1,1,1,1,0,,1341,13.422819,86.129754,0.223714,0.223714
Alameda_2018 Q2 Court,22,Alameda,2018 Q2 Court,1345,269,141,1053,0,1,1583,2,168,163,Alameda,Nancy E. O'Malley,1,1,1,1,0,,1195,11.799163,88.117155,0.083682,0.0
Alameda_2018 Q3 Court,23,Alameda,2018 Q3 Court,1302,256,139,916,0,0,1308,0,153,208,Alameda,Nancy E. O'Malley,1,1,1,1,1,,1055,13.175355,86.824645,0.0,0.0
Alameda_2018 Q4 Court,24,Alameda,2018 Q4 Court,1375,258,147,921,0,0,1489,2,126,192,Alameda,Nancy E. O'Malley,1,1,1,1,1,,1068,13.764045,86.235955,0.0,0.0
Alameda_2019 Q1 Court,25,Alameda,2019 Q1 Court,1315,264,170,920,0,1,1374,2,142,218,Alameda,Nancy E. O'Malley,1,0,NA,NA,0,,1091,15.582035,84.326306,0.091659,0.0
Alameda_2019 Q2 Court,26,Alameda,2019 Q2 Court,1397,229,161,888,0,0,1486,2,176,225,Alameda,Nancy E. O'Malley,1,0,NA,NA,0,,1049,15.34795,84.65205,0.0,0.0
Alameda_2019 Q3 Court,27,Alameda,2019 Q3 Court,1578,295,137,891,1,0,1678,0,145,241,Alameda,Nancy E. O'Malley,1,0,NA,NA,0,,1029,13.313897,86.588921,0.0,0.097182
Alameda_2019 Q4 Court,28,Alameda,2019 Q4 Court,1379,293,141,954,0,0,1455,2,76,212,Alameda,Nancy E. O'Malley,1,0,NA,NA,0,,1095,12.876712,87.123288,0.0,0.0
Alameda_2020 Q1 Court,29,Alameda,2020 Q1 Court,1369,270,118,815,0,1,1627,0,72,191,Alameda,Nancy E. O'Malley,1,0,NA,NA,0,,934,12.633833,87.259101,0.107066,0.0
