County_and_Quarter,X,County.x,Quarter,Petition_for_Modification,FTA_Warrant,Prison,Probation,Straight_1170h,Split_1170h,Probation_Petition,MS_Petition,PRCS_Petition,Parole_Petition,County.y,Name,Decarceratory,Did_Incumbent_Seek_Reelection,If_Sought_Did_Incumbent_Win,Contested,Election_Year,Notes...election.years...2014..2018..2022.with.New.DA.coming.in.Q1.after..,Total_Sentences,Percentage_Prison,Percentage_Probation,Percentage_Split,Percentage_Straight
Alameda_ 2013 Q1 Court,1,Alameda, 2013 Q1 Court,1985,340,162,628,32,5,1672,1,308,NA,Alameda,Nancy E. O'Malley,1,1,1,0,0,,827,19.58887545,75.93712213,0.604594921,3.869407497
Alameda_ 2013 Q2 Court,2,Alameda, 2013 Q2 Court,2026,403,191,755,16,4,1750,9,370,NA,Alameda,Nancy E. O'Malley,1,1,1,0,0,,966,19.77225673,78.1573499,0.414078675,1.6563147
Alameda_ 2013 Q3 Court,3,Alameda, 2013 Q3 Court,2137,398,165,742,28,4,1838,12,334,153,Alameda,Nancy E. O'Malley,1,1,1,0,0,,939,17.57188498,79.02023429,0.425985091,2.981895634
Alameda_ 2013 Q4 Court,4,Alameda, 2013 Q4 Court,1921,404,202,749,31,2,1823,19,236,170,Alameda,Nancy E. O'Malley,1,1,1,0,0,,984,20.52845528,76.11788618,0.203252033,3.150406504
Alameda_ 2014 Q1 Court,5,Alameda, 2014 Q1 Court,1980,220,244,624,47,1,878,3,150,211,Alameda,Nancy E. O'Malley,1,1,1,0,0,,916,26.63755459,68.12227074,0.109170306,5.131004367
Alameda_ 2014 Q2 Court,6,Alameda, 2014 Q2 Court,2072,233,270,689,27,5,1231,2,163,229,Alameda,Nancy E. O'Malley,1,1,1,0,0,,991,27.24520686,69.52573158,0.504540868,2.724520686
Alameda_ 2014 Q3 Court,7,Alameda, 2014 Q3 Court,2001,268,169,674,22,1,1065,1,180,214,Alameda,Nancy E. O'Malley,1,1,1,0,1,,866,19.51501155,77.82909931,0.115473441,2.540415704
Alameda_ 2014 Q4 Court,8,Alameda, 2014 Q4 Court,1599,255,209,660,40,5,923,0,165,177,Alameda,Nancy E. O'Malley,1,1,1,0,1,,914,22.86652079,72.21006565,0.547045952,4.376367615
Alameda_ 2015 Q1 Court,9,Alameda, 2015 Q1 Court,1815,221,155,748,28,14,1054,0,140,153,Alameda,Nancy E. O'Malley,1,1,1,1,0,,945,16.4021164,79.15343915,1.481481481,2.962962963
Alameda_ 2015 Q2 Court,10,Alameda, 2015 Q2 Court,1749,238,232,636,43,6,1115,3,199,124,Alameda,Nancy E. O'Malley,1,1,1,1,0,,917,25.29989095,69.3565976,0.654307525,4.689203926
